User ID,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10
6925,12,95,3,115,120,73,5,19,83,126
8297,91,119,10,55,114,73,63,81,55,36
5419,100,40,123,33,3,42,132,119,10,34
3115,94,82,79,66,35,107,123,77,89,80
4913,45,67,7,31,3,8,127,136,3,32
8116,13,21,100,45,34,92,51,124,76,118
2784,132,69,42,62,136,103,94,67,39,60
3084,40,91,110,132,6,94,89,8,127,48
7084,121,23,119,51,38,136,125,94,125,124
2812,118,27,6,44,26,47,35,5,66,85
991,2,52,63,65,119,6,10,64,38,45
9723,117,61,10,57,3,62,44,4,75,130
6946,64,118,54,99,66,106,3,28,109,81
1001,23,31,7,55,32,90,22,39,25,126
1515,2,8,111,80,16,61,132,6,48,9
2186,77,76,106,5,118,58,109,98,86,96
7140,51,60,27,100,66,108,34,37,54,3
9422,44,100,14,68,60,55,90,122,62,41
150,131,35,32,53,44,30,135,39,21,54
